elapsed time,timestamp,topic,value
2.59,1774501306.214000000,/odom_rf2o_adapted.pose.pose.position.x,0.00024539484565597874
2.638,1774501306.262000000,/odom_rf2o_adapted.pose.pose.position.x,0.00005427705159415791
2.779,1774501306.403000000,/odom_rf2o_adapted.pose.pose.position.x,0.0001230084088462563
2.847,1774501306.471000000,/odom_rf2o_adapted.pose.pose.position.x,0.0003093508374447593
2.907,1774501306.531000000,/odom_rf2o_adapted.pose.pose.position.x,0.0004701530793397163
3.031,1774501306.655000000,/odom_rf2o_adapted.pose.pose.position.x,0.0005104528738847994
3.134,1774501306.758000000,/odom_rf2o_adapted.pose.pose.position.x,0.0008271023760915881
3.258,1774501306.882000000,/odom_rf2o_adapted.pose.pose.position.x,0.0003380585494970646
3.343,1774501306.967000000,/odom_rf2o_adapted.pose.pose.position.x,0.00007033501101329914
3.398,1774501307.022000000,/odom_rf2o_adapted.pose.pose.position.x,-0.0002885374099047093
3.49,1774501307.114000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00022551339318952965
3.5940000000000003,1774501307.218000000,/odom_rf2o_adapted.pose.pose.position.x,-0.000010634256358641597
3.657,1774501307.281000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00012534958100716975
3.768,1774501307.392000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00012287283155803033
3.883,1774501307.507000000,/odom_rf2o_adapted.pose.pose.position.x,-0.0001066852782222634
3.997,1774501307.621000000,/odom_rf2o_adapted.pose.pose.position.x,-0.0001858619154194753
4.069,1774501307.693000000,/odom_rf2o_adapted.pose.pose.position.x,0.00001878861140220192
4.191,1774501307.815000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00013903513299490244
4.265,1774501307.889000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00021998830255856583
4.373,1774501307.997000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00007008696713477203
4.456,1774501308.080000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00005459354895408566
4.644,1774501308.268000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00011749267679969644
4.729,1774501308.353000000,/odom_rf2o_adapted.pose.pose.position.x,0.00019619937825339148
4.849,1774501308.473000000,/odom_rf2o_adapted.pose.pose.position.x,0.000057130132426447267
4.885,1774501308.509000000,/odom_rf2o_adapted.pose.pose.position.x,0.0002686069345375526
4.986,1774501308.610000000,/odom_rf2o_adapted.pose.pose.position.x,0.0003219109334519771
5.178,1774501308.802000000,/odom_rf2o_adapted.pose.pose.position.x,0.00018393365353216312
5.219,1774501308.843000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00016317618969125675
5.28,1774501308.904000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00018238982793811892
5.343,1774501308.967000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00011242221024150567
5.456,1774501309.080000000,/odom_rf2o_adapted.pose.pose.position.x,-0.000025513246678866147
5.531,1774501309.155000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00011672376859291067
5.808,1774501309.432000000,/odom_rf2o_adapted.pose.pose.position.x,0.00012324638534011445
5.834,1774501309.458000000,/odom_rf2o_adapted.pose.pose.position.x,0.0004129537712176945
5.878,1774501309.502000000,/odom_rf2o_adapted.pose.pose.position.x,0.00032301811022390076
5.941,1774501309.565000000,/odom_rf2o_adapted.pose.pose.position.x,0.0005083319646435568
6.031,1774501309.655000000,/odom_rf2o_adapted.pose.pose.position.x,0.0004247444610968633
6.165,1774501309.789000000,/odom_rf2o_adapted.pose.pose.position.x,0.00009724316089977647
6.257,1774501309.881000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00032440748359221713
6.361,1774501309.985000000,/odom_rf2o_adapted.pose.pose.position.x,-0.00037495009030324294
